51,Private,114758,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,48,United-States,>50K
42,Local-gov,247082,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,3103,0,50,United-States,>50K
41,Self-emp-inc,214247,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,60,United-States,>50K
62,?,103575,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,5178,0,40,United-States,>50K
54,Private,85423,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
59,Federal-gov,134153,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Black,Male,7298,0,38,United-States,>50K
51,State-gov,200450,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,>50K
38,Private,44780,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,0,0,8,United-States,>50K
41,Private,115323,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
62,Private,104849,Masters,14,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,40,China,>50K
65,Private,113293,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
50,State-gov,139157,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,60,United-States,>50K
43,Private,222596,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,Poland,>50K
57,Private,161642,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
71,Private,244688,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,6514,0,40,United-States,>50K
20,Private,325033,12th,8,Never-married,Other-service,Own-child,Black,Male,0,0,35,United-States,>50K
30,Private,53373,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
56,Private,208640,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
37,Local-gov,188391,Assoc-acdm,12,Divorced,Other-service,Unmarried,White,Male,0,0,60,United-States,>50K
36,Private,102568,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,>50K
26,Private,191573,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K
33,Private,204780,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,15024,0,40,United-States,>50K
34,Private,341954,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
39,Local-gov,30269,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,44,United-States,>50K
41,Local-gov,75313,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,?,>50K
38,Private,218015,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States,>50K
30,Private,415266,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
50,Private,175029,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
47,Private,47343,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
42,Federal-gov,178074,Masters,14,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,1902,40,United-States,>50K
29,Private,199411,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
36,Private,224541,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
32,Private,94041,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,>50K
46,Private,180532,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
46,Self-emp-inc,167882,Assoc-voc,11,Divorced,Exec-managerial,Not-in-family,White,Female,8614,0,70,United-States,>50K
57,Self-emp-not-inc,204387,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,10,United-States,>50K
46,Private,124356,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
43,State-gov,135060,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,?,>50K
59,Self-emp-not-inc,156797,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,13550,0,60,United-States,>50K
76,Private,174839,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,9386,0,25,United-States,>50K
43,Self-emp-inc,147206,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,27828,0,45,United-States,>50K
46,Private,151107,Some-college,10,Married-civ-spouse,Sales,Husband,Black,Male,0,1977,60,United-States,>50K
41,Local-gov,193553,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,64,United-States,>50K
42,Local-gov,216411,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,Puerto-Rico,>50K
38,Private,304001,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
39,State-gov,252662,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,2824,50,United-States,>50K
64,Self-emp-not-inc,163510,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,50,United-States,>50K
36,Private,220696,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
56,Private,288530,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,37,United-States,>50K
25,Private,629900,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,United-States,>50K
44,Private,180599,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,>50K
56,Private,329654,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,7688,0,50,United-States,>50K
29,Private,157950,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
41,Federal-gov,171589,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,?,>50K
32,Self-emp-inc,225053,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,60,United-States,>50K
42,Private,234508,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
32,Private,49398,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,Male,10520,0,40,United-States,>50K
50,Private,39590,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,48,United-States,>50K
55,Private,200217,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
63,Self-emp-not-inc,130221,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,>50K
25,?,182810,Some-college,10,Never-married,?,Not-in-family,White,Female,0,1564,37,United-States,>50K
41,Private,63105,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,42,United-States,>50K
31,Private,280927,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,>50K
37,Private,118358,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
48,Private,366089,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
47,Private,246891,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,15024,0,45,United-States,>50K
45,Self-emp-inc,188694,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
47,Local-gov,103540,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
42,Private,234633,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
43,Self-emp-inc,123490,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
50,Self-emp-not-inc,187830,Bachelors,13,Divorced,Craft-repair,Not-in-family,White,Male,27828,0,16,United-States,>50K
38,Federal-gov,143123,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
40,Private,77370,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
52,Private,231196,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
47,Self-emp-not-inc,294671,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,>50K
33,Private,202046,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
